C4C9H4H7CK;C3H6D3S9D8
S9H3H9HQ;H6CKD8H2S8
CAH4D8C10;H6D10S2SJD3
H9S2C4HAS9;DJH3S3SJDK
HJH5H3C8;DQH10CKS10D9
SJDAD3S5D8;C6C5HKH8H2
D9C2S2H7D7;C5HAD6D4
C2D9C5H5H8;C10DAS9C7SQ
D2HKC4CJ;S3H8H7S8SK
H9S4H10D6H3;D4HAD5S9CJ
DJC8H6DKH3;HQH8S7CQDQ
C8SQSJH7S8;D7DQCJD10H6
H6S6S10C6CA;CKS9SJD7H2
HAD6C8C2D4;S5S2CKS10C7
DJC10H7C4S5;CQS4D6D8
DAS5CAHACQ;C10C3SJS6C9
S8DQHKH10S5DJCJH8S3;S8DQHKH10S5DJCJH8S3
C10D10D4C7H5;C9DKDAH10S7
H5CQH8H2C6;S7D9SJS6C5
H10HQD9DQSQ;CKCQSKDJ
H8D4S8D6H7;D2S4DADQS6
S8H3H9DAHA;D7DQC2D5H6
S6S4C5DKS8;DJD9H10H6S3
SQS6C2H5C10;C9S9S2H4H9
H2H5C8HADA;C9S8D9DKC2
H8S10H3DKS2;C10DQS3CKHJ
SQH8S9H3S7;HQH5CJC3
SJD5C8S10S9;S7D4CJD7H8
CJS6CAS10HJ;D4C6DKC10D8
C5D10HKD6DJ;D8SKD9D5H2
C5D4DAH9HK;HQCAC8S8D3
D10H5HQC7H4;C5S5DQHJC10
C5CAC6CQD9;D3S3H8H7S5
HQH2H7C5;H3D2SJS8D4
CQHQH7S8D8;C10H9HJD7CK
HAS9S6D9S5;HQC4S3C3HK
H4S3CKC7H7;C6H10D6CAS9
DAC7S3S7S9;C9CKS8H5H10
DKHAD3D5SQ;CQS5H8D4HK
CAD9S3D6C6;H3S6S8DQC2
CKHQH3S9CJ;HAD6C2HKC3
S7S5D6S2S3;H2C9SJC4CA
CADQC4C2C10;H5H3CJH2D5
D7C8H7D10;C7C9HAHJDA
S9S7CQD9;D5C4DJHKC3
D2CAH2C9D7;S2H5DQS7C4
S4D5D9C4S3;S2D10HQC10CK
CQC9SQDJSJ;HKDAH10HQC8
S2C2D9HJH4;HKH3H10D7D5
S6D9D5C2H9;D6CKH8S4
H2D7SQH4D3;S5H7HQDKH8
CAH4S4C4D9;DQSJC6H10S7
C10H10DQH2S6;S7SQD7S8D8
S5S3D7HK;DAS9D4H10D3
H6CQDKH9S2;S3S5CJHJ
H7H3HAD6S8;DKSJD7DAD10
D3C2D10HKD4;H6C10S4C6C5
C2DAHKD4DJ;C8D10H6HQDQ
S10S2C7C4H3;H6S7H4H9D4
H3CQCKS4C7;H9H6HJDJD10
CJSJH8SQD9;D6C4H10S7H3
H4D4C8D2;HKCQDQSKCK
DJD5H9H4D6;CKS7H7S9DA
H6HASJSKC5;H7C2S9DAD10
HJSKC10H7D10;C9DQH8S8S3
HAHQH5CAS2;C10C4H7HK
C2S4H4HAC3;S7D3H6D9
D3CADAD4H6;DQSQD6S10SJ
DASJH4H10D8;D6H5HQCAS6
S2C5CKH4HK;CQC7DKS8S5
SQH2H3CQ;S3C10D4C5S7
H8C6DJCQD5;SQS10CJC2D6
D10CKC6S9S6;H7S8DASJ
C10HAC8S8CQ;H10H2S4SQD5
CJS9D3C9S4;S3S8H6S6C10
S4DQCJD7HQ;C4S10DAD10C5
H6S6DACJH4;S4CKC7C9
S7DJH10CAH5;D10H7S10C4DQ
S3HQS5S7;SKD10C9H10CJ
DJHJD2D9S2;D4C7HKC9D8
CJH7C2S5S7;D2CKH2D4S6
S7S4D10D6S8;C2C5HASJH2
S7H8H10H4;C5HADJH6S4
S9CJH4D10HQ;H2S8CADAD6
DADKS3S8;DJD9C7H3HQ
C10C7S2SJC4;H7CKDQH9C5
H7S7CQC10D8;DJS10CJS3DQ
H6SQC10S2C4;DACKC2HAH8
C7D9H9D4S8;CAC6H10HQDK
HJS6CKS5C3;D9HAC8D5S10
D6H7C10S8HQ;D8D7SQHKS4
D3H5S3C9D9;S9D2D10CJS5
DJS8C6SQS7;C3C2S4D7HJ
S2S9HJCK;H4C8HAC7CQ
H10D7CKCAH8;CQH2D10C8HJ
C2D9D3S7S4;S3H5CKS5H6
H5H6SQD2C10;CKCQD3HJD4
H7CKH6HJC2;S9S5HKH3S4
DQH4D9S5S8;D3D4C9H3DA
HQC6D4H5CK;D5CAD3HAH8
D6S2H7S9H6;D2S3CQSQS5
HQC7S10CADQ;DKC3H7SK
HACAH2CKHK;SKH3S10DQH6
D8CAS8C8;S9HKDJS6H9
S2S8S3S10C9;HKC7D3D8D6
C7H7DKCQC9;C2HAC3H5HJ
S5SKHAH3D6;C5H8C4D3CK
D2D9SJDQ;CQH4C4D5S3
DAD5S7CJSQ;SKC4H4C7HQ
D7DAC6H7S4;H2C3C2D5D4
DKDAS2H5SQ;C10D4H4C7D2
D6H4DAC4H7;DKSQH3S10CQ
H7H8S3H5S5;S2DJCAC6DA
HQC2DKDJS9;H6H4SKC3CA
H3H2S8DJHA;C2CKH4D10S10
D9H8CKC7HA;H5DJD3SQS8
S3H4D2S5HA;CAD7S6CKD6
D10C8HQH4C7;D9C2SQD7S2
D6DAC7S9D8;SJH10S5S7H9
H6S5CKHKS10;D9D5DQD6
SJH3S3DQC8;S2CJC3H5S9
H8CKCQH3;H10D4D5D7S8
DAS7CAHAH6;H4C3C5D5SJ
D7H9C5C3H3;S6H7H4C2HK
H6CJCAC3D4;C6SJC10H9DQ
D2D8CJC2;SQS3S6CQS10
H6H2SKC9;C2C4C3D9S6
CJDQDJD7SJ;C2H7CAD4H6
S6S10CQCK;C5HAS4H6H4
H9DKC9SQ;CAH10H2HQC7
H9SJC7S4D6;C4H10S6DKS7
D9D3C9HAC7;H3H6D10HKC4
H3HJH9DA;CJS2SQC3CK
H8HQH9DQS6;D3C4S8C10S9
D4S2H3DJ;SKC2HKC5D9
D3H8C9HJDA;SQS6H7C8D7
DKC7S4C6HQ;D3S6H2H8H10
C3S6H9CKD3;C10CQD10S7D2
D7CAC7HAS2;DKDQS8C10
D2D5H10D6HJ;DCCQH4HKCA
C10S6DKH7H2;D7H6S7H4C5
S6CQS7C10CK;S10D2D8SKH10
DQD7H2S2S6;CKHJH5C6H9
CAS4CJD6;C6SJH10CKS8
DQCKHJDJS8;D7HKC6H3C2
DAD4C7DQDK;CJDJD7S8D9
H9D5H5H2SJ;DAS2C6D7HJ
SKH6D4C10S7;C5S9HQCJD5
H5D6H3C10;D10CQDKC7S9
H8D8CQS2C6;S9D10DKCJSQ
H3S7S6DJC9;D8D9S5D7CK
SJD6HQC5D2;S2S8H6C3C6
H2D5HADQ;H6SJD4D9C3
CAHKC7S6CQ;S5HJDJS2
D8S7S8D2H3;CASQDAC10S6
S5C3C4D2HA;C9S8D6S3DJ
C2H9DAD2SQ;H5D8D7S8SJ
H5S3S2HADK;C10D5D10SJC7
C3C5H5C8D6;SQH6D9CJ
CQSQH4S9H5;D7C4C6DQD3
H3H6D6H2;S5HJH7C6HA
C6DJHJD10D2;C2CAC9C7
S5DJC9D4;H9S3C2D5CK
H10S4D6DQD2;D3SJD4HKSQ
S10CJDACAD5;SQS7H8C3S8
C5D9H6S4S9;DQD2D5HJCJ
DAC4S2CKS10;H8D2CJC2H2
D7SKCJHJ;H4D4CQC5H6
C4S9S7DJC7;HJS10C3H6C9
H5C9HJD10D8;HKC3DJC7H9
H10C9H6CJC5;HKSKHAC6D3
D3S8DAHAS4;C5D2S5C9D9
S8SQD6S3H10;CKC4D4D8
SQH7S9C7S2;C2S3C8DKDA
S9H3CQH4C5;D8D3D2D7
D2D6D8C4H2;HJS2S8C5
S10C6H6D10S2;SKC7D8C4C5
S5H6CQH10DJ;HQC10C6D8S10
C8D6S8H2S3;SKDAS10HQC6
HQS4D5D7H5;H7D4D6S10
C10D6D5C6;H9CKD10SQS2
H5H6D8DJD3;H9H8C2D5CK
S6HJHAD3DA;D10H7C5D7C6
HJH4H5C2CJ;DJD9CKC6DK
C3H3DJD6CA;SQS6D8C5D9
H2DKDJC6D8;H4H3D3C5C3
H4C6D7C3D5;S5C5S8HKD9
SKS5DKC6D7;SQC3D4D6
S9C2D2SQDQ;H6C7D6D7D10
D4HQD9S8;DAC10H10SQCK
S5H9S9SJCQ;D10D5D3SQDK
C7C2DQH10SQ;C4C6C10HKC9
H5S6DAS7S2;H8C6H9S5CQ
H7S2SJH2;H5C3S8H8DQ
H9DAS10S5CK;H5SQC4CQ
D5S9S3C5DA;H7CQC10S6CA
HAC10S5S4H2;S10SJD9H6DA
DAH3D2S2HK;H4S9C8H9
C6H10CKHJC10;H8SKS8C5H9
CAHAD3H10;H5S7S5H2H9
S10HQC9D3D9;C3CQSQH7H6
CQS4D4H5;CJD8S2SJD3
C4SJDJS4C5;HJHKS8CQH4
S7C7DAH2C10;D5S4CKD8D3
SQD7H5H8H3;H7DAH6C6
H5S10D6HQCA;H6H9D10S8S7
D8HKH8C6S10;DAH7DKD10H10
HAD4D10SJDK;C7S9HQHKC10
D10C5D4H8H10;HQH5CKSKH2
D4S4H5D5H7;S10HJD9S7C7
D5CJH2DASQ;D4C2S9CADQ
D6CKD8CJCQ;H9D4S5D9D3
CQSKC3C4D6;S6S2D10H8HA
H10DKS6DJC10;C9S4C7H8CA
H4DAH10S3SJ;D9S4HKH2D4
H8C4C7S5;D6C3DQCASQ
D2C7C2HA;D4D7S3S6C8
D9DJC9D3H4;H6C5C2SKC6
D7H5C5S3CA;H10HJD2S8SQ
H6CAHJS4;S2H9D4SJD7
H2H10H8DA;H5H4S4HAD6
C2HJS7DQC6;H4S10H7C7S6
C6C2S3H9DA;D4S6SQS4H2
S7DAC4SQD10;S10D8C10H9CA
S4H9C6C2;CADJS2DAD4
C6SJS8HAS6;DJC7DQD7D4
DQHKH2C2H8;SKD10D8CJDK
D3H3C10DAD10;H5S10H8H7D4
S5C8DKC4H8;CKC5SKC9HA
DJSQH2D2S8;S3HKD3C6CQ
S10D3DJSJDA;DQS9C9C8S2
SKHJH8S8D6;CJC4D7H6D3
H2D10DJDKC10;H4CQH3S5C3
H10C9C6S5D3;H2D2D8H7S9
H6D8C5H10D5;CQSKD4DQD6
S5D7C7CJS6;C10CQDAHKD8
H8SQD8C10HK;S2C6D6C2HA
D5C4H2S9H9;C10SQH3C6DA
HJD5S3H2D4;S7D3C4H10S5
D10HKH6H3;HQC8D3D5S4
HKS10S7S5S4;H6S8CJH3C2
H5H10S5HACA;D4CJCQS6H6
HKS5D6SJHQ;H5DQD5H7C9
D10CJDACKHJ;H3H8C5C7HA
D4C8CJD7C5;D9H7H2S4S7
H6DKD9D2D6;D7S6H3D10C8
H2C7D8D7S8;C6H4C4D10D2
C4S2H7H10S4;C9SKC7C8H5
H6S2S7H4D8;SQSJC3HKDQ
HKC5D8CKCQ;D7H10D9DKH3
S10D6S9D9;S6H5H3CAC8
H7S4S10CJ;SKSQH2DJC8
HKD4S4CKS7;C3H4S10SJD10
H9CACQS9H8;D7C8C2H6S7
S10S3S5C4;H7CKHQCQH5
CQD2D5SQDA;H9HQH7D10S2
C5S6H10DASK;D10H3CJD5S8
H7C6D7SQS9;S5C7HQD8DK
CKHKHQH10C3;HJC5C6C7D6
SJS7H9D10S2;C6DJD5H2H7
H9DJD3S9H6;C9D7C3D8S6
D3CKS10H8H5;SJC10D9C7HA
SQH7C8C7;H8D10S5C5H4
SJD5D2H5H10;S3H6S9C10CK
S3DAD2H6DK;H2H8D6DQ
HKH9DQD2D5;S2H10SJHJH2
D5S6D3HQ;H8HKCJS7CA
H9CAS2HJDQ;S5C3C4C8D9
HJC2DAH2S2;S5SJC4H9S8
CQHAS6CAH10;CKC9SKS4H2
S9H6D10D6H9;C7H2C9HQS2
C10H9C5D8DK;DQCJH5D2SK
HAC6S2HQ;CJD4D5D2DA
HQC5D9HJ;CJHAD7S8SQ
DAC5S9D4H3;DKDJC2S6CJ
HJD2D9HKCQ;H9S5S6D10C7
S9D6CQC4H5;SKDKH9C9DQ
H3H7H4C4D7;C6D6S7D8D9
S2DKCAH4D6;S9CKH5HAC9
H6CQD7D10H4;D5D8DQH5H2
S3C3CJD8DK;SQHKH5H9SK
HKSJH2SKS10;H3H5D9S7
H10H6DJC9D2;D5D3C7C10C8
HJCQD2H10S4;C7S5C4DKH3
D4DKD10C9H8;DJH9CQH3
H6H9D7HQDA;H3SJH4D3C8
S6D9C2CK;H6CJH7D8C7
CKHADKD7DA;CQH4D6H6S4
H3CJH4H6SK;DKSJHQH7HJ
C3CKD10SJS9;H2H9C2S6D4
S7SQHJD5D7;DJD2C2D9S8
C10HAC2D2H10;S6H7H9HKH3
D3DAHAH8H9;H3D10HQS6C9
H2HAC5SQC10;C7D3DJH9C9
C5D2C8DAC2;D5S4H9CQH6
D6S3D4HAD9;SQC2D3H2S8
CKHAH10D5S5;S4DAH7H2D9
C7D10D5CQD7;S6H2S10HJD6
D2D10HAC3S9;C9H4D9SJC7
H4SKD2H3;S3HQH8H7DA
H9C4H10S6D6;H2C3D8C2SJ
SJH10D9C7S9;S10S7S4C9S5
D2DQDKCASQ;S7H3S8HAH10
S10S2H9CQC6;D4DJS5SKDQ
D7C4C2CAD3;D9C9S7C5CQ
C3H2S3D7H3;D5D2S2C8
HJD5D3H3HA;SQS5D7SJD2
C6C5CADKH6;H4S10D6S2HJ
S2C10S6H6D4;CJHAD8C2C7
DACQH9HKC6;C2C9S4S5C8
HJC10C5H2C4;S10C2S4CJCK
D3DAH10S10S8;H9D10DKC5H5
H3SQSJCJS8;D7D10H9D8DK
D5SJH7DQCJ;D8H5S6HKD9
C7DJS7H9C9;HJS9D4D2D10
D5D10H10HACK;SJH2S6S5C5
H6HQH8C10;S6DAD4DJS5
SQC10SJH8D5;CAD10C6D7D6
D8H10C3H3C8;DJDQC9S6D5
D3H8HAD5DQ;H2H10DKC4H3
S8S4C9CKH2;S10C4CQDKS3
DQCAD4H6S2;D9S4S6DJ
DAHASJC4SQ;C9D10C6S7H8
S2S5HQDAC5;DKHAS3SKDJ
H8S9H7D7S10;HQC8D6C10D4
H6C4DAC3CK;D8DJS9SJHQ
C6D7CKS8S3;D8H3H6S6H7
SJH5H3C3D4;C10D3CKS6S9
C2HQS10H4S7;S3S8C7SJ
HADASKHJHK;HQS4D9CKDQ
C8C9D10D8HQ;S7D3C5H3H4
H5D7S6D3S4;C5H3D2HJD4
C3H10C8H8DJ;C10S10H5CKHJ
C6S10C2C3H10;C10HAD8H4H2
D2C5S7SJSQ;C9S10C2S2S6
S5HKH5D2HA;SQCACJD9S4
DKH8S3HAH5;C6H7SQC7
D10DJH10HKH3;C8H9S4DQH5
C6CJC9D4CA;H9S4DQH7DJ
C3H10H6C8C10;D8H9C4S2
SKHQS7D4;H2S3HAD9C8
D6SJS2H5;C5C4S9C6CA
DJH5H7C8C3;S10DQH10S8S7
D8H8S9H6DK;H3C3S2C4SK
C2SQC7H4H2;D7CQD10S3HA
C10H4CKS8H9;S9C3DQS7SK
H7SJD6CQC5;H5SQS3C6SK
HAS8H3H6C8;C9H2H9HQDK
D7SQD9H10C9;D5SKS9CQDA
C4S2C7C8HA;S10DAS4H8D6
S9C5DJS3CK;D5CAS2HK
H4C8C7CKH2;C2DAD6D4SJ
D10S5S2D6HK;C6D4CJD5C9
SKDJC7S7D7;D3H9CAS9S8
D2HQS3CAH3;S7C8H7D6H4
S6S10HADKS9;HQD2D6S4S7
DAS2D5H3H10;S8CQHKSJD9
S9H5H2D5H8;D10H6DAC9
C9S4D4D5DJ;HJS2S6C3S9
HQHKH6D5DJ;C5SJH2C3S6
CKH9H3C3;HAD4SJSKSQ
D2H5DKC2HK;DAC10H9H8S9
H2CQH9H4S3;D4HKS2SQC4
H3S8D6C10CQ;D10DKCJC6SK
CJS6DJS8D7;H5C2S9C3H8
S10HQH5CAS2;HJCQSQD3D7
C10D7S6S2H7;D5HKC3D6H4
D6D5H4DKC6;DQS5D9SQ
S7D6S8DJ;C6D3C9HKS5
C6H2D3DQH10;D9S2SJD10S9
DJD3D9C3D10;CJS5C4SQH8
S3D5H4C2S4;H7SQH3DQH8
D8H8C8C5D7;D9H2C7CKS2
C9D4D10SQC3;H8HQH7HKH2
S6D6SQC7DK;HJHQD2DJD9
C8H9H3DAH6;SJS7H8SKC5
SKH5S9H8;H4CKC3D9C2
DKDQH3H8C6;HAC5S10HKSQ
C5C7S9H10;CKS5C4S8DJ
C10S7D10H10S4;HAC2H3H9
D4S10H3SJS4;S7SKS2HQC2
D4C7C3S9HK;C4S3HJH3H7
C4C6CKS10H2;SJC5H3H6C9
C7D2C8H10D8;C2H7H3C4S10
D7H6CKC5SJ;D9SQD8HQS9
H4D5H6DJD10;SQD7HAC8SK
CKHKS7H6SK;H10H8D8S5D5
C8DJS6HJ;D7C3D2C6DK
S10C5D6C7S5;S8SJCQSQHQ
D6SQD2H5S4;H8D4C6DQ
H10D7S5S10HJ;H6CAD2C9HK
C7D10D9H2H8;S2S9HJCQS8
C4SJC8H7DK;H9C3C6C2S5
D9CAC9CJC3;S3S2DQSQD10
SQS4DKCKD3;D10D9DJC3D7
D7H9D10DKC6;C5S6C9D4H3
C5DKCAH9HJ;H7S8H6S5D3
H4CQS10D3C2;HKD5DQH8CK
D2S10SQH9S6;DKHQC6H3C2
C5S8D8C3HJ;H10S7H7HKS3
C2SKH6DAC3;S3CJS7HJS10
C5C3C10D3CK;SKCQH10C8H6
D6C4D2CKS9;S2HJD3DQDK
C2H5C7S2SQ;C8H8D2C5S3
HAD5C8H6H2;SQC4D4HQHK
DKH2CKDADQ;C3C5S10D5S5
S2DQD9H4CQ;D6S10SKS8D2
D4H8S4HJS3;C6S7D10H4CK
H8HQCJC10H10;H2D5HAC4D7
D8C4D6SKH9;S5C5C8C10CA
S10H9CKC3H4;H7S3DJDKHJ
C6H4H5D10S2;D8H2S4H6HQ
C7D6DADJCJ;H2H6H7H9S2
CJHJHKS6C9;H6C5SQD8H7
S5D4S4CQH3;S7C3DKSQD7
S4CAHJDQC6;H5S7SKDAS9
DKDQD6C3S2;H6DADJD7S9
D9H5C8C9;C5H6D6DAS9
CADQS3D5S8;SKC8H5D3DJ
S9HJC2D10CJ;CQCAC3C10S8
H10C4D10H9D5;D2S9H7C6S5
C3CAD4D8HQ;S5DKH5C4D5
D2C6C4DJS4;SJHAS3HQH6
D3H10H4D4;S4HJH6CAC7
S6C5D10SJDK;DAH2H10SQH3
C6HAS2D5S5;D8D3S7H2
H3C8H4CKS8;S5D2D7D8C5
DJD4HJHKCK;C5S7S4S9SQ
H7D6CQH10;D5H4SJHJHQ
CQD5H3H5S10;D7SKD8C4C8
D4H7D3S10;C4SKS7H4C2
H9S8SQS10C6;D8D6DJH3CK
S9HKD8S4SK;DJC10S6CAC4
S6D6DJSKC9;DAD2H3S4SJ
H4S4H3C6C5;D10C3DKH7C9
C5CADAD3H3;S3H10SQS6S8
H9S9D7C8;D4C7SQC6D9
CAD9C3DAD5;H9H6CKC8H7
H5D6H3C10D8;CKS3C8S9C9
C7DAD7S7H4;DQS5DJS6S2
SKCJD2D8S4;CQH3HJH9D4
H5CQD3H2D6;H9D4D10D8S7
HKH10S4H8;C2D9HACQH4
D9C10C9SKH4;C4D5DAS9SQ
C7C9DJH5;HJS4CKD3DQ
S7S10C8CJC3;S6D5HAS9S8
S2D10S5C6D2;D4CKH4H7C3
C4CQC2D4H6;CAS10D8HK
H4D3SKC2C8;C4SQHJC3H3
S2DKC10H9S10;DJD3CAHQD6
D7H7C9SK;S7S10S5DJDK
C10C4CKS5C3;C8H7H3C6SQ
H5DAS6S4D7;D4DJD10SJ
H5S8DQHJH4;D5C2H6C10C4
C4S4H4C3H7;CAH8C9HQSQ
D2S3H10DJS9;C6CKH2SQC10
H10S5S10DQH7;D8DKD2D9CK
S4D6H4C9C5;H9H5S2SKC3
HKC8C2H2;CKS6C7S10SK
D6S8HKSJH4;D5DQS4CQHA
S7HKS9S4C3;H5D8HJH10C2
SQH2D4HKHQ;C3DJD9D7S9
SQC7CJH4;D10C3HKC9D2
H10HJDQC6;SQH5HKHAHQ
H4H8H3H2SJ;C5S7CAC4DQ
S2CKHJH5C4;H2S5C3H8DJ
C6H2H8C2S7;C5H10CQH5
S3CKHQH7S5;C8C9D5D8
D9SKSQDQS5;C6H4H9DJD10
S10D5S7HADJ;H3H5D8C7D4
H6CAS2S3S5;D5D8C8SKH9
S10H2C8D6D5;H7C3C6H10S6
SKC5S2H10S5;D5H5SJS3DA
H7S10C5SKHK;S4C3S5H5
C3H8C2SJH4;C8D7C5DQHJ
D10CAS9C8DJ;S10C3H5DKH2
CQC2H2D5D7;C4D4S2HKSJ
C10D4S10H9H2;H8S3DKC5DQ
HJD6H2DQH4;S4C5D10CKC6
H6S7DQH4SK;S10S8DADJ
CAH6SQS2SK;SJD4HKC5H10
S7SJH3D7H4;C7C8H6CADK
HKC2D5S8S3;D3D9C5H3DK
C3S5C5S8D8;HKH10H5H4H9
D3D5H4DQ;HKS6D10CQC9
D10CACKS10D4;C8S5HKD7CJ
CJS9C5S5SJ;CQD2S4C9C4
C8H6D9CKD4;S3C2H9S6H8
D9HACKC9D4;D7D3S7C2D10
D2H10D3D8HQ;S4H5HADQH8
C7D7C6C2S2;HAS7H2S10
D10D8H2C2CQ;SJCKD7HADK
H3CAD7CJ;SKH10D9C3CQ
DJS4D2C6SK;S8D6C2DKD7
H2SQCJHKDJ;C10DAH10H3D4
CAH3S2S10C3;D10SJD8D3CJ
CJS7SQD10D6;D7D5C3S8DA
HAS3D6D7D5;SJH7H9HQ
DKH5H9S6C3;D4CQH6C8
C4D10D9C9D3;C6HAD2C10HK
CAC8C7D8C10;H3D10S2S5
D9S7H7H8DJ;C10S4H2D4C3
S8D9S3C9H5;H8D3DAD2HA
C3D3DAC4S5;CJHQS8H8SQ
C6HAH5H6DQ;D9DAHKC3HQ
